"TipoOperador","Operador","Departamento","Localidad","Direccion","Telefono","Web","EMail",Longitud,Latitud
"Alojamientos Turísticos","APART HOTEL GEMINIS","SALTO","TERMAS DEL DAYMAN","CALLE TIMBO S/N","47369816","www.geminishotel.com","S/D",-57.0,-31.0
"Inmobiliaria","INMOBILIARIA STUDIO 31","MALDONADO","MALDONADO","PARADA 40, LAGUNA DEL DIARIO","29019806","www.inmobiliariastudio31.com.uy","S/D",-10000.0,-10000.0
"Inmobiliaria","BLUEPROP TRANSACCIONES INMOBILIARIAS","MALDONADO","PUNTA DEL ESTE","GORLERO 838","094542055","www.blueprop.com.uy","info@blueprop.com.uy",-10000.0,-10000.0
"Agencia de transportes","TINO VIAJES","MALDONADO","MALDONADO","AVENIDA ANTONIO CAMACHO S/N APARTAMENTO 101","099118210","S/D","ppereira@sybasociados.com.uy",-10000.0,-10000.0
"Agencia de viajes Nueva","VENTUS","SALTO","SALTO","RINCON 49","47332339","S/D","irene@ventusviajes.com",-10000.0,-10000.0
"Agencia de transportes","FORTIN SAN MIGUEL","ROCHA","18 DE JULIO","RUTA 19 S/N, KILOMETRO 9","44746607","ww.elfortin.com","flaborde@estudiolaborde.com.uy",-10000.0,-10000.0
"Rentadora de autos","COIVI S.A.","MALDONADO","MALDONADO","S/D","S/D","S/D","S/D",-10000.0,-10000.0
"Agencia de transportes","RUTABUS","MONTEVIDEO","MONTEVIDEO","25 DE MAYO 555 ESCRITORIO 508","29024142","S/D","internacional@rutatur.com",-10000.0,-10000.0
"Establecimiento rural","LA ESTIRIA","FLORES","TRINIDAD","RUTA 3 KILOMETRO 209,300","S/D","www.laestiria.com","S/D",-57.02823,-33.40857
"Alojamientos Turísticos","LAS LIEBRES","COLONIA","COLONIA DEL SACRAMENTO","CONTINUACION ZAPICAN 645","45241181","www.lasliebres.com.uy","mariajose@lasliebres.com.uy",-57.85269,-34.43125
"Agencia de transportes","JORGE ARTURO CABRERA PEREZ","MONTEVIDEO","MONTEVIDEO","LUIS ALBERTO DE HERRERA 2887 APARTAMENTO 001","S/D","S/D","jacelrusso@gmail.com",-10000.0,-10000.0
"Inmobiliaria","RE/MAX - MAR","MALDONADO","PUNTA DEL ESTE","AVENIDA ROOSEVELT ENTRE AVENIDA DE LOS ARGENTINOS Y LINCOLN , EDIFICIO TORRE PUNTA DEL ESTE, LOCAL 007","42498088","www.remax-mar.com","S/D",-10000.0,-10000.0
"Inmobiliaria","CLAVIJO PASTORINI Y ASOCIADOS","MALDONADO","PUNTA DEL ESTE","CALLE 15 ENTRE 24 Y GORLERO - EDIFICIO TORRE PLAZA - LOCAL 6","S/D","www.clavijopastorini.com","clavijopastorini2011@gmail.com",-54.9479,-34.9663
"Inmobiliaria","JUAN MIRABALLES","MALDONADO","PUNTA DEL ESTE","AVENIDA DEL MAR SIN NÚMERO","094234320","www.juanmiraballes.com","alquileres@juanmiraballes.com",-10000.0,-10000.0
"Agencia de transportes","JUAN PABLO TESTA S.R.L.","SALTO","SALTO","ARTIGAS 520","47339385","S/D","ppereira@sybasociados.com.uy",-10000.0,-10000.0
"Agencia de transportes","AGENCIA CENTRAL","MONTEVIDEO","MONTEVIDEO","AVENIDA GENERAL RONDEAU 1475","1717 / 217","www.agenciacentral.com.uy","admage@agenciacentral.com.uy",-10000.0,-10000.0
"Agencia de transportes","ALVARO DIEGO BELLOZO RIBERO","MALDONADO","PIRIAPOLIS","RUTA 73 Y CAMINO 1","099600291","S/D","S/D",-10000.0,-10000.0
"Agencia de transportes","JULIO CESAR ROMERO S.R.L","RIO NEGRO","FRAY BENTOS","25 DE AGOSTO 3076","099569318","S/D","pazurica@gmail.com ; ppereira@sybasociados.com.uy",-10000.0,-10000.0
"Agencia de transportes","GUTEREISE S.R.L.","MONTEVIDEO","MONTEVIDEO","CAMINO CARRASCO  7114","099601719","S/D","miguezm@gmail.com",-10000.0,-10000.0
"Agencia de transportes","AGUSITOUR","MONTEVIDEO","MONTEVIDEO","CAMINO CORONEL RAIZ 2242","23201178","S/D","ppereira@sybasociados.com.uy ; agusitour @hotmail.com",-10000.0,-10000.0
"Inmobiliaria","COLMENA","MALDONADO","PUNTA DEL ESTE","GORLERO ENTRE 30 Y 31, GALERIA SAGASTI, LOCAL 12","42441665","www.inmobiliariacolmena.com.uy","S/D",-10000.0,-10000.0
"Inmobiliaria","KATZ PROPIEDADES","MONTEVIDEO","MONTEVIDEO","26 DE MARZO 3474 APARTAMENTO 202","26230253","www.katz.com.uy","elias@katz.com.uy",-10000.0,-10000.0
"Inmobiliaria","JORGE DIAZ PROPIEDADES","MALDONADO","PUNTA DEL ESTE","EUGENIA VAZ FERREIRA 3176","42482222","www.jorgediaz.com.uy","virginia@jorgediaz.com.uy",-10000.0,-10000.0
"Agencia de transportes","OHAL S.R.L.","RIO NEGRO","YOUNG","MONTEVIDEO 3569","S/D","S/D","S/D",-10000.0,-10000.0
"Establecimiento rural","HOTEL DE CAMPO SAN PEDRO DE TIMOTE","FLORIDA","CERRO COLORADO","RUTA 7 KILOMETRO 142, CERRO COLORADO","43108086","www.sanpedrodetimote.com","S/D",-55.671716,-33.78876
"Alojamientos Turísticos","NUEVO HOTEL URUGUAY","PAYSANDU","GUICHON","AVENIDA ARTIGAS 232","47422213","S/D","nuevohoteluruguay@gmail.com",-10000.0,-10000.0
"Alojamientos Turísticos","HOTEL COTTAGE BUCEO","MONTEVIDEO","MONTEVIDEO","JOSE AGUSTIN ITURRIAGA 3568","26286262","www.hotelcottage.com.uy","ggoslino@hotelcottage.com.uy",-10000.0,-10000.0
"Inmobiliaria","MAR Y TIERRA PROPIEDADES","MALDONADO","PUNTA DEL ESTE","LAS GAVIOTAS (29) ENTRE EL REMANSO (20) Y GORLERO - EDIFICIO GRAMADO - LOCAL 02","42448811","www.marytierra.com.uy","S/D",-10000.0,-10000.0
"Inmobiliaria","SCOPICE NEGOCIOS INMOBILIARIOS","CANELONES","LA FLORESTA","SAN MARTIN S/N ESQUINA REPUBLICA ARGENTINA","43739212","S/D","S/D",-10000.0,-10000.0
"Alojamientos Turísticos","COSTA ESMERALDA","ROCHA","LA PALOMA","BOTVARA Y CALLE 14","44797061","www.destinolapaloma.com.uy","bungaloscostaesmeralda@gmail.com",-54.1806,-34.6597
"Agencia de transportes","RP LOGISTICA S.R.L.","MONTEVIDEO","MONTEVIDEO","DOMINGO CULLEN 663 APARTAMENTO 502","099610852","S/D","ppereira@sybasociados.com.uy",-10000.0,-10000.0
"Alojamientos Turísticos","POSADA LO DE OLGA","ROCHA","CABO POLONIO","CALLE DE LAS POSADAS, PLAYA NORTE","094494814","www.posadalodeolga.com.uy","posadalodeolgacabopolonio@gmail.com",-10000.0,-10000.0
"Alojamientos Turísticos","HOTEL BOUTIQUE ATLANTICO","MALDONADO","PUNTA DEL ESTE","CALLE 7 ESQUINA 10","42440229","www.hotelatlanticopuntadeleste.com","administracion@hotelatlanticopuntadeleste.com",-54.9509,-34.9681
"Alojamientos Turísticos","CABALLO LOCO S.R.L.","MONTEVIDEO","MONTEVIDEO","HECTOR GUTIERREZ RUIZ 1287","29026494","www.caballolocohostel.com","caballolocosrl@gmail.com",-10000.0,-10000.0
"Alojamientos Turísticos","CASABLANCA TERMAL APART-HOTEL","SALTO","TERMAS DEL DAYMAN","CALLE TIMBO S/N (PADRÓN 24931)","47369325","S/D","casablancatermal@gmai.com",-10000.0,-10000.0
"Inmobiliaria","JORGE DIAZ PROPIEDADES","MALDONADO","PUNTA DEL ESTE","CALLE SANTA TERESA ENTRE AVENIDA FRANCIA Y ARAZATI","42482222","www.jorgediaz.com.uy","virginia@jorgediaz.com.uy",-10000.0,-10000.0
"Inmobiliaria","SCOPICE NEGOCIOS INMOBILIARIOS","CANELONES","LA FLORESTA","PAVIMENTO SECUNDARIO Y CALLE 4, LOCAL 006","S/D","S/D","S/D",-10000.0,-10000.0
"Inmobiliaria","SCOPICE NEGOCIOS INMOBILIARIOS","CANELONES","LA FLORESTA","PAVIMENTO SECUNDARIO Y CALLE 4, LOCAL 006","S/D","S/D","S/D",-10000.0,-10000.0
"Agencia de viajes Nueva","CARDINAL REPS.","MONTEVIDEO","MONTEVIDEO","MERCEDES 937 OFICINA 101","29009211","www.cardinal-reps.com","ignacio.lasuen@cardinalsisa.com",-10000.0,-10000.0
"Inmobiliaria","JOURDAN NEGOCIOS INMOBILIARIOS","MONTEVIDEO","MONTEVIDEO","18 DE DICIEMBRE 1478 APARTAMENTO 11","26134904","www.jourdan.com.uy","S/D",-10000.0,-10000.0
"Inmobiliaria","IAVECCHIA RODRIGUEZ PABLO DANIEL Y PEREZ MEDEROS MARIA MARGARITA","MALDONADO","MALDONADO","CAMINO CERRO PELADO S/N ESTABLECIMIENTO VALLE VERDE","S/D","S/D","pabloiavecchia2@gmail.com",-10000.0,-10000.0
"Agencia de viajes Nueva","E-TRAVELS","MONTEVIDEO","MONTEVIDEO","COLONIA 990","29021195","www.e-travels.com.uy","administracion@e-travels.com.uy",-10000.0,-10000.0
"Inmobiliaria","ACOSTA PROPIEDADES","MALDONADO","PUNTA DEL ESTE","AVDA.ITALIA Y ORINOCO EDIFICIO CHESTERFIELD","42491627","www.acostapropiedades.com","S/D",-10000.0,-10000.0
"Agencia de transportes","EMILIANO HERNANDEZ PEREZ","CANELONES","SANTA LUCIA","RINCON 190 APARTAMENTO 305","43320432","S/D","estusur@internet.com.uy",-10000.0,-10000.0
"Alojamientos Turísticos","ALQUIMIA SPA Y POSADA","PAYSANDU","GUICHON","AVENIDA ARTIGAS Y RUTA 90","47422206","S/D","alquimiaspa@gmail.com",-10000.0,-10000.0
"Alojamientos Turísticos","CASA DEL SOL","COLONIA","COLONIA DEL SACRAMENTO","RUTA 1 KILOMETRO 170.500","45226383","www.daysinncasadelsol.com","laura.banda@estudioterrasol.com",-57.7799,-34.4457
"Inmobiliaria","GARCIA & VIDAL ADMINISTRACION","MALDONADO","PUNTA DEL ESTE","EDIFICIO MARE NOSTRUM LOCAL 1, PARADA 1","42484004","www.garciayvidal.com.uy","S/D",-10000.0,-10000.0
"Rentadora de autos","GOL RENT A CAR","MONTEVIDEO","MONTEVIDEO","DEFENSA 2374","099347878","www.golrentacar.com.uy","info@golrentacar.com.uy",-10000.0,-10000.0
"Inmobiliaria","GARCIA & VIDAL ADMINISTRACION","MALDONADO","PUNTA DEL ESTE","SANTA TERESA 873 CASI FLORIDA","S/D","www.garciayvidal.com.uy","S/D",-10000.0,-10000.0
"Guía turístico","FEDERICO COSTA RICAGNO","COLONIA","COLONIA DEL SACRAMENTO","CERRITO 1009 BIS","099816097","S/D","ruso_fede@hotmail.com ; federicocostaricagno@gmail.com",-10000.0,-10000.0
"Alojamientos Turísticos","REMANSO","SALTO","TERMAS DEL DAYMAN","JACARANDA S/N","47369822","S/D","aparthotelremanso9@gmail.com",-57.9081,-31.457
"Alojamientos Turísticos","COMPLEJO TURISTICO CHUY LTDA.","ROCHA","BARRA DE CHUY","RAMAL RUTA 9 Y CALLE 4","44748113","www.complejoturisticochuy.com","soniamoralesgarcia@gmail.com",-53.39801,-33.75537
"Alojamientos Turísticos","HOTEL TERRAZA DEL MAR","MALDONADO","PORTEZUELO","RUTA INTERBALNEARIA KILOMETRO 118","42578888","www.hotelterrazadelmar.com","S/D",-55.0539,-34.8818
"Agencia de transportes","ADRIAN EDUARDO PODESTA CADENASSO","MONTEVIDEO","MONTEVIDEO","TOMAS GOMENSORO 3087","24801881","S/D","ppereira@sybasociados.com.uy",-56.1579,-34.8733
"Inmobiliaria","AMORIN INMOBILIARIA","MALDONADO","MANANTIALES","RUTA 10, KILOMETRO 164, PADRON 14056","099571421","S/D","S/D",-10000.0,-10000.0
"Inmobiliaria","JP PROPIEDADES","MALDONADO","PUNTA DEL ESTE","EDIFICIO SANTOS DUMONT LOC.009","42447850","S/D","S/D",-10000.0,-10000.0
"Agencia de transportes","ABITUR S.R.L.","MONTEVIDEO","MONTEVIDEO","CAMINO GENERAL HORNOS 4997","23055230","S/D","ppereira@sybasociados.com.uy",-10000.0,-10000.0
"Agencia de transportes","VALENCIA 2011 LTDA.","MONTEVIDEO","MONTEVIDEO","ENRIQUE BRITOS 1727 OFICINA 001","22005176","S/D","ppereira@sybasociados.com.uy",-10000.0,-10000.0
"Agencia de transportes","FERNANDO ENRIQUE OSTOIC LUCAS","MONTEVIDEO","MONTEVIDEO","PATRIOTAS 4357","23367874","S/D","ppereira@sybasociados.com.uy",-10000.0,-10000.0
"Agencia de viajes Nueva","EL CORTE INGLES","MONTEVIDEO","MONTEVIDEO","JOSE ELLAURI 555","27102666","www.viajeselcorteingles.com.uy","cpereira@viajeselcorteingles.com.uy",-56.156971,-34.920262
"Agencia de transportes","ABITUR S.R.L.","MONTEVIDEO","MONTEVIDEO","CHARRUA 1163","22032431","S/D","ppereira@sybasociados.com.uy",-10000.0,-10000.0
"Agencia de transportes","VALENCIA 2011 LTDA.","MONTEVIDEO","MONTEVIDEO","DEAUVILLE S/N, MANZANA 197, SOLAR 12","43760365","S/D","ppereira@sybasociados.com.uy",-10000.0,-10000.0
"Alojamientos Turísticos","RED WIND","MALDONADO","PUNTA DEL ESTE","SAN PABLO Y LAS MAGNOLIAS","42481350","www.redwind.info","info@redwind.info",-54.9126,-34.929
"Agencia de transportes","LEONARDO PEREYRA GOBER - MARTIN JOSE GIL GARCIA","MONTEVIDEO","MONTEVIDEO","MIGUEL GRAU 3939 APARTAMENTO 406","26244854","S/D","conta.rigoni@gmail.com",-10000.0,-10000.0
"Inmobiliaria","NORTON ADMINISTRACION","MALDONADO","PUNTA DEL ESTE","SAN FRANCISCO S/N ESQUINA PASCUAL GATTAS LOCAL 2 PADRON 6880, MANZANA 590","42498764","www.nortonpropiedades.com","maianorton@icloud.com",-10000.0,-10000.0
"Inmobiliaria","GERVASIO ASCONEGUY PIEDRA SOCIEDAD DE HECHO","MALDONADO","PUNTA DEL ESTE","AVENIDA ITALIA S/N, PARADA 4 Y 1/2, EDIFICIO SALTO GRANDE, LOCAL 7","42478476","S/D","S/D",-10000.0,-10000.0
"Inmobiliaria","COLDWELL BANKER","MONTEVIDEO","MONTEVIDEO","COLONIA 810 OFICINA 403","26244000","www.workplace.com.uy","sergio.weber@coldwellbanker.com.ar",-10000.0,-10000.0
"Alojamientos Turísticos","GRAN HOTEL URUGUAY","SALTO","SALTO","BRASIL 891","47335197","www.hoteluruguay.com","S/D",-57.9639,-31.3865
"Agencia de viajes Nueva","WESTOR S.A.","MONTEVIDEO","MONTEVIDEO","25 DE MAYO 741 OFICINA 204","27087172","S/D","smoyano@galantemartins.com",-10000.0,-10000.0
"Agencia de viajes Nueva","SYNCRO VIAJES","MONTEVIDEO","MONTEVIDEO","LUIS ALBERTO DE HERRERA 1248 LOCAL 034","26280657","www.syncroviajes.com","S/D",-10000.0,-10000.0
"Agencia de viajes Nueva","HIPERVIAJES","CANELONES","BARRA CARRASCO","LUIS GIANNATTASIO S/N","29022233","www.hiperviajes.com.uy","info@hiperviajes.com.uy",-10000.0,-10000.0
"Agencia de viajes Nueva","HIPERVIAJES","CANELONES","BARRA CARRASCO","AVENIDA ITALIA 5779 LOCAL 4","29022233","www.hiperviajes.com.uy","servicioalcliente@hiperviajes.com.uy",-10000.0,-10000.0
"Agencia de viajes Nueva","HIPERVIAJES","CANELONES","BARRA CARRASCO","AVENIDA ITALIA 5779 LOCAL 4","29022233","www.hiperviajes.com.uy","servicioalcliente@hiperviajes.com.uy",-10000.0,-10000.0
"Agencia de viajes Nueva","HIPERVIAJES","CANELONES","BARRA CARRASCO","AVENIDA ITALIA 5779 LOCAL 4","29022233","www.hiperviajes.com.uy","servicioalcliente@hiperviajes.com.uy",-10000.0,-10000.0
"Inmobiliaria","INMOBILIARIA COSTA BRAVA","CANELONES","CUCHILLA ALTA","AVENIDA ARTIGAS S/N Y CALLE 30","43788096","www.costa-brava.tripod.com","S/D",-55.492566,-34.792391
"Inmobiliaria","JULIO VILLAMIDE & ASOCIADOS (JVA)","MONTEVIDEO","MONTEVIDEO","YAGUARON 1407 APARTAMENTO 708","29084305","www.juliovillamide.com","mv@juliovillamide.com",-10000.0,-10000.0
"Inmobiliaria","INMOBILIARIA VARELA","MALDONADO","SAN CARLOS","TREINTA Y TRES S/N Y SARANDI","42669094","S/D","ale_2020_ale@yahoo.com.ar",-10000.0,-10000.0
"Inmobiliaria","C&P","COLONIA","ROSARIO","18 DE JULIO 235","45522439","S/D","fredycollazo@gmail.com",-10000.0,-10000.0
"Inmobiliaria","MAVRO MICROTIME","MONTEVIDEO","MONTEVIDEO","SANLUCAR 1491 APARTAMENTO 203","26057579","www.mauro.uy","mbaridon@gmail.com",-10000.0,-10000.0
"Agencia de viajes Nueva","HIPERVIAJES","CANELONES","BARRA CARRASCO","AVENIDA ITALIA 5779 LOCAL 4","29022233","www.hiperviajes.com.uy","servicioalcliente@hiperviajes.com.uy",-10000.0,-10000.0
"Agencia de viajes Nueva","HIPERVIAJES","CANELONES","BARRA CARRASCO","AVENIDA ITALIA 5779 LOCAL 4","29022233","www.hiperviajes.com.uy","servicioalcliente@hiperviajes.com.uy",-10000.0,-10000.0
"Agencia de viajes Nueva","HIPERVIAJES","CANELONES","BARRA CARRASCO","AVENIDA ITALIA 5779 LOCAL 4","29022233","www.hiperviajes.com.uy","servicioalcliente@hiperviajes.com.uy",-10000.0,-10000.0
"Agencia de viajes Nueva","HIPERVIAJES","CANELONES","BARRA CARRASCO","AVENIDA ITALIA 5779 LOCAL 4","29022233","www.hiperviajes.com.uy","servicioalcliente@hiperviajes.com.uy",-10000.0,-10000.0
"Agencia de viajes Nueva","HIPERVIAJES","CANELONES","BARRA CARRASCO","AVENIDA ITALIA 5779 LOCAL 4","29022233","www.hiperviajes.com.uy","servicioalcliente@hiperviajes.com.uy",-10000.0,-10000.0
"Agencia de viajes Nueva","HIPERVIAJES","CANELONES","BARRA CARRASCO","AVENIDA ITALIA 5779 LOCAL 4","29022233","www.hiperviajes.com.uy","servicioalcliente@hiperviajes.com.uy",-10000.0,-10000.0
"Agencia de viajes Nueva","HIPERVIAJES","CANELONES","BARRA CARRASCO","AVENIDA ITALIA 5779 LOCAL 4","29022233","www.hiperviajes.com.uy","servicioalcliente@hiperviajes.com.uy",-10000.0,-10000.0
"Rentadora de autos","TRAVEL RENT A CAR","SALTO","SALTO","RUTA 3 KILOMETRO 494","099661346","S/D","pabloperna@adinet.com.uy",-10000.0,-10000.0
"Alojamientos Turísticos","MIRADORES DEL VALLE","RIVERA","VALLE DE LUNAREJO","VALLE DEL LUNAREJO, PADRON 715, TERCERA SECCION","46506389","www.miradoresdelvalle.com.uy","nathaly090814@gmail.com",-10000.0,-10000.0
"Inmobiliaria","INMOBILIARIA CIUDAD DEL SOL","ROCHA","CASTILLOS","OLIVERA 1188","44757078","www.inmobiliariaciudaddelsol.com","S/D",-10000.0,-10000.0
"Agencia de transportes","REMISES PIPIGNO","CANELONES","LAGOMAR","CALLE 21 S/N, MANZANA 41, SOLAR 9","S/D","S/D","jorgecaprario@hotmail.com",-10000.0,-10000.0
"Agencia de transportes","CAMARANO BORDONI ANDREA CLAUDIA","MONTEVIDEO","MONTEVIDEO","EJIDO 1208","29031751","S/D","administracion@jotace.com.uy",-10000.0,-10000.0
"Alojamientos Turísticos","ARAPEY THERMAL RESORT & SPA","SALTO","TERMAS DEL ARAPEY","ACCESO A TERMAS DEL ARAPEY S/N","47682005","www.arapeythermal.com.uy","S/D",-53.2,-30.083333
"Agencia de transportes","VA.BA S.R.L","MONTEVIDEO","MONTEVIDEO","MARCO BRUTO 11732 APARTAMENTO 202","099692218","S/D","jhsena@adinet.com.uy",-10000.0,-10000.0
"Agencia de viajes Nueva","MARTIN DIAZ TURISMO","CANELONES","TALA","25 DE AGOSTO 465 BIS","43154228","www.martindiazturismo.com","martin@martindiazturismo.com",-10000.0,-10000.0
"Inmobiliaria","INMOBILIARIA FERREIRA","CANELONES","LAS TOSCAS","AVENIDA 30 METROS S/N ENTRE CALLES D Y E","43727942","S/D","rematadorcarlosferreira@gmail.com",-10000.0,-10000.0
"Inmobiliaria","INMOBILIARIA CORSO","MALDONADO","MALDONADO","18 DE JULIO 736","42223407","S/D","S/D",-10000.0,-10000.0
"Agencia de transportes","SOLCE S.R.L.","MONTEVIDEO","MONTEVIDEO","ANZANI 1593","099884226","S/D","tanoporzio@hotmail.com",-56.185,-34.844
"SALAS DE CONVENCION","PERSPECTIVA MEETINGS & TRAVEL","MONTEVIDEO","MONTEVIDEO","FRANCISCO SOLANO ANTUÑA 2825","27107010","www.perspectiva.com.uy","info@perspectiva.com.uy",-56.0,-34.0
"Agencia de transportes","AB TURISMO","MALDONADO","MALDONADO","DR. EMILIO FRUGONI S/N","099903433","S/D","ppereira@sybasociados.com.uy ; buenahora@outlook.com",-10000.0,-10000.0
"Agencia de transportes","OSCAR ROBERTO CENTURION GONZALEZ","SAN JOSE","SAN JOSE DE MAYO","LAGUNA 328","S/D","S/D","bencensaros@hotmail.com",-10000.0,-10000.0
"Alojamientos Turísticos","HOTEL TERRAZA DE LA VIUDA","ROCHA","PUNTA DEL DIABLO","CALLE DEL INDIO S/N","S/D","www.terrazasdelaviuda.com","terrazasdelaviuda@gmail.com",-53.5474,-34.0501
"Inmobiliaria","JL TRINIDAD PROPIEDADES","MALDONADO","MALDONADO","LOS GLADIOLOS S/N ESQUINA POLAKOF","42225891","S/D","jltrinidad-inmuebles@hotmail.com",-10000.0,-10000.0
"Agencia de viajes Nueva","MICONOS LTDA.","SORIANO","MERCEDES","GRAL ARTIGAS 442","45321093","S/D","contadores@estudiobyc.com.uy",-10000.0,-10000.0
"Agencia de viajes Nueva","MICONOS LTDA.","SORIANO","MERCEDES","18 DE JULIO 1441","45321093","S/D","contadores@estudiobyc.com.uy",-10000.0,-10000.0
"Agencia de viajes Nueva","DESPEGAR.COM URUGUAY","MONTEVIDEO","MONTEVIDEO","LUIS ALBERTO DE HERRERA 1343 OFICINA 303","29015720","www.despegar.com.uy","uy@despegar.com",-10000.0,-10000.0
"Inmobiliaria","OPCION BUCEO - NEGOCIOS INMOBILIARIOS","MONTEVIDEO","MONTEVIDEO","PABLO GALARZA 3543","26284676","www.opcionbuceo.uy","S/D",-10000.0,-10000.0
"Inmobiliaria","INMOBILIARIA CARMELO","COLONIA","CARMELO","GRAL FLORES 304","45420031","www.inmobiliariacarmelo.com.uy","S/D",-10000.0,-10000.0
"Alojamientos Turísticos","SOFITEL MONTEVIDEO CASINO CARRASCO & SPA","MONTEVIDEO","MONTEVIDEO","RAMBLA REPUBLICA DE MEXICO 6451","26046060","www.carrasconobile.com.uy","adriana.alcain@carrasconobile.com.uy",-56.055556,-34.890556
"Establecimiento rural","POSADA Y RESTAURANTE SAUCE SOLO","CANELONES","SAUCE","CAMINO CHARAMELO S/N CASI RUTA 67,KILOMETRO 38,500","22941408","posadasaucesolo.blogia.com","S/D",-56.084475,-34.667597
"Agencia de transportes","CORPORACION DE OMNIBUS","MONTEVIDEO","MONTEVIDEO","BULEVARD ARTIGAS 1825, LOCAL 19","22159382","www.cutcorporacion.com.uy","secretaria@grupocarminatti.com.uy ; gualberto.carminatti@grupocarminatti.com.uy",-56.1662,-34.894
"Agencia de transportes","TURISMO TOTAL","MONTEVIDEO","MONTEVIDEO","CHARRUA 2523","099454116","S/D","ppereira@sybasociados.com.uy",-10000.0,-10000.0
"Alojamientos Turísticos","EL TAJAMAR","RIO NEGRO","FRAY BENTOS","RUTA 2 KILOMETRO 307","45623586","S/D","waltergabrielgallardo@gmail.com",-10000.0,-10000.0
"Agencia de viajes Nueva","MERCADO VIAJES Y URUGUAY 365","MONTEVIDEO","MONTEVIDEO","RINCON 468 PISO 7","26230995","www.mercadoviajes.uy","contacto@mercadoviajes.uy ; contacto@uruguay365.uy",-10000.0,-10000.0
"Agencia de transportes","JORGE FABIAN VARGAS BAZZANO","FLORIDA","VILLA CARDAL","MEVIR II 8676","S/D","S/D","adriavar1308@hotmail.com",-10000.0,-10000.0
"Agencia de viajes Nueva","LAMECO VIAJES","MONTEVIDEO","MONTEVIDEO","ANDES 1217 APARTAMENTO 204","29023505","www.lameco.com.uy","sabrina@lameco.com.uy",-10000.0,-10000.0
"Alojamientos Turísticos","LE CLUB POSADA","MALDONADO","LA BARRA","AV. DE LOS CANGREJOS Y LA PLAYA S/N","42772082","www.leclubposada.com","info@leclubposada.com ; estudio@estudiogaudin.com.uy",-54.8145,-34.9055
"Agencia de viajes Nueva","LIBERTY","MONTEVIDEO","MONTEVIDEO","CIRCUNVALACION ENRIQUE TARIGO 1335 APARTAMENTO 305","S/D","www.libertyuruguay.com.uy","marcelo@libertyuruguay.com.uy",-10000.0,-10000.0
"Agencia de viajes Nueva","INDOOR URUGUAY","CANELONES","PARQUE MIRAMAR","QUEGUAY 8055","26056600","www.indooruruguay.com","topprivatetours@gmail.com",-56.0779,-34.8607
"Agencia de transportes","JORGE EDGARDO ORELLANO CASARES","RIO NEGRO","FRAY BENTOS","JUAN MANUEL BLANES 3477","S/D","S/D","estudiohds@hotmail.com",-10000.0,-10000.0
"Inmobiliaria","IGNACIO RUIBAL PROPIEDADES","MALDONADO","JOSE IGNACIO","LAS GARZAS MNA. 19 FRENTE PZA J. IGNACIO","44862228","www.ignacioruibal.com","S/D",-10000.0,-10000.0
"Inmobiliaria","INMOBILIARIA NIETO","CANELONES","LAGOMAR","AVDA. GIANNATTASIO KM 21.100","26822335","www.nieto.com.uy","S/D",-10000.0,-10000.0
"Agencia de viajes Nueva","LIBERTY","MONTEVIDEO","MONTEVIDEO","MERCEDES 866","S/D","S/D","marcelo@libertyuruguay.com.uy",-10000.0,-10000.0
"Rentadora de autos","AURORA RENT A CAR","COLONIA","JUAN LACAZE","AURORA 288","45864930","www.aurorarentacar.com","info@aurorarentacar.com",-10000.0,-10000.0
"Inmobiliaria","E.A.B. INVERSIONES","MALDONADO","EL EDEN","RUTA 12 KILOMETRO 28","42231252","S/D","S/D",-10000.0,-10000.0
"Agencia de transportes","DIEMER","COLONIA","COLONIA DEL SACRAMENTO","ATANASIO SIERRA 521","S/D","S/D","diegobur76@hotmail.com",-10000.0,-10000.0
"SALAS DE CONVENCION","MERC","CANELONES","SAN RAMON","CYRO GIAMBRUNO 987","43116001","S/D","eugenora@vera.com.uy",-10000.0,-10000.0
"Agencia de transportes","FACU BUS","MONTEVIDEO","MONTEVIDEO","MONTERO VIDAURRETA 1164","099105229","S/D","empresafacubus@hotmail.com ; tramites.contaduria@bf.com.uy",-10000.0,-10000.0
"Agencia de transportes","FAVITUR","MONTEVIDEO","MONTEVIDEO","AVENIDA 8 DE OCTUBRE 3634","26134735","S/D","vicentefazio1939@gmail.com",-10000.0,-10000.0
"Establecimiento rural","COMPLEJO TURISTICO FLORES","FLORES","FLORES","RUTA 3 KILOMETRO 201, PARAJE MARINCHO, SEGUNDA SECCION JUDICIAL","S/D","www.hoteldecampoflores.com","complejoturistico@adinet.com.uy",-56.7458,-33.9138
"Agencia de transportes","RUBEN DARIO RODRIGUEZ LOPEZ","MONTEVIDEO","MONTEVIDEO","CAMINO CARLOS A. LOPEZ 4191","22007996","S/D","2300of@vera.com.uy",-10000.0,-10000.0
"Inmobiliaria","ACAPULCO INMOBILIARIA LTDA.","MONTEVIDEO","MONTEVIDEO","MIGUEL BARREIRO 3107","27057269","www.acapulcoinmobiliaria.com.uy","S/D",-10000.0,-10000.0
"Inmobiliaria","ESTUDIO ADM","MALDONADO","MALDONADO","GALAPAGOS S/N ESQUINA AVENIDA ROOSEVELT, CHALET EL BAQUEANO","42271056","www.estudioadm.com","administrador@estudioadm.com",-10000.0,-10000.0
